fold,accuracy,precision_w,recall_w,f1_w,best_val_loss
0,0.8235294117647058,0.8256302521008403,0.8235294117647058,0.8233115468409586,0.7653672782813802
1,0.7352941176470589,0.7397504456327985,0.7352941176470589,0.7364224462163382,0.8587681440746083
2,0.7941176470588235,0.804524886877828,0.7941176470588235,0.7887179487179488,0.6963991768219892
3,0.6764705882352942,0.7754010695187166,0.6764705882352942,0.6738663267164451,0.8093020416357938
4,0.6764705882352942,0.6638655462184874,0.6764705882352942,0.657114127702363,0.889188033692977
